City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Frederick (Ballenger Creek),21704,Sheetz,"6050 Buckeystown Pike, 21704",3.89,Sheetz,39.3991965,-77.4063109,3.86
Frederick (Ballenger Creek),21704,Sheetz,"7301 Executive Way, 21704",3.89,Sheetz,39.3691771,-77.4121205,3.86
Frederick (Ballenger Creek),21704,Sheetz,"5601 Buckeystown Pike, 21704",3.89,Sheetz,39.3863292,-77.4095815,3.86
Frederick (Ballenger Creek),21704,Wawa,"5440 Urbana Pike, 21704",3.89,Wawa,39.3814473,-77.4012549,3.89
Frederick (Ballenger Creek),21704,Shell,"5498 Buckeystown Pike, 21704",3.99,Shell,39.37721,-77.409536,3.94
Frederick (Ballenger Creek),21704,Southern States,"5841 Buckeystown Pike, 21704",3.99,-,39.3945061,-77.4089957,3.99
Frederick (Ballenger Creek),21704,Royal Farms,"7402 Shockley Dr, 21704",3.99,Royal Farms,39.3760946,-77.4088403,3.89
Frederick (Ballenger Creek),21704,7-Eleven,"8900 Fingerboard Rd, 21704",3.99,7-Eleven,39.3244476,-77.3528585,3.96
Frederick (Ballenger Creek),21704,Royal Farms,"9180 Fingerboard Rd, 21704",3.99,Royal Farms,39.3276312,-77.346555,3.89
Frederick (Ballenger Creek),21704,Exxon,"8816 Fingerboard Rd, 21704",4.29,Exxon,39.3311118,-77.3869896,4.26
Walkersville,21793,7-Eleven,"8411 Woodsboro Pike, 21793",3.89,7-Eleven,39.4647068,-77.36414,3.86
Walkersville,21793,Sheetz,"8408 Woodsboro Pike, 21793",3.89,Sheetz,39.4645149,-77.3653857,3.86
Walkersville,21793,Rutter's,"9210 Woodsboro Pike, 21793",3.99,-,39.487169,-77.3396205,3.99
Middletown,21769,High's Dairy Store,"4301 Old National Pike, 21769",3.97,High's,39.4339699,-77.5188683,3.92
Middletown,21769,LDS,"201 S Church St, 21769",3.99,-,39.4424907,-77.5455705,3.99
Middletown,21769,Shell,"4304 Old National Pike, 21769",3.99,Shell,39.4350236,-77.5183346,3.94
Middletown,21769,BP,"211 E Main St, 21769",3.99,BP,39.4592562,-77.7452054,3.94
Buckeystown,21717,Carroll Motor Fuels,"3612 Buckeystown Pike, 21717",3.81,-,39.3327487,-77.4323293,3.81
Jefferson,21755,Crown,"4010 Mountville Rd, 21755",3.99,-,39.3584946,-77.5300718,3.99
Knoxville,21758,Weis Gas N Go,"1201 Dutchman's Creek Dr, 21758",3.87,-,34.4229808,-80.8830658,3.87
Knoxville,21758,Sheetz,"3842 Burkittsville Rd, 21758",3.87,Sheetz,39.3370038,-77.640031,3.84
Knoxville,21758,Hillside Station,"19110 Keep Tryst Rd, 21758",3.98,-,39.3302021,-77.7018826,3.98
Brunswick,21716,Crown,"98 Souder Rd, 21716",3.79,-,39.3238019,-77.6174184,3.79
